distant	-0.052863	-0.044537	0.437137	-0.174626	0.232599
distractible	-0.138665	-0.274024	-1.333805	-0.051992	0.347988
distrustful	0.203789	-0.006465	-0.170371	-0.399510	0.231608
docile	-0.190000	0.050000	-0.280000	0.240000	-0.040000
dogmatic	-0.110000	0.060000	-0.040000	-0.100000	0.010000
dominant	0.051277	0.169695	0.450102	-0.333062	0.028113
domineering	-0.020000	0.150000	0.400000	-0.410000	0.100000
down-to-earth	0.090000	0.140000	-0.010000	0.240000	-0.280000
dull	-0.087040	-0.058418	-0.438113	-0.043469	-0.043571
dutiful	0.002604	0.416585	0.057887	0.151057	-0.182678
earnest	0.220000	0.070000	-0.030000	0.290000	-0.090000
earthy	0.180000	-0.010000	-0.030000	0.220000	-0.260000
easygoing	-0.070000	-0.230000	0.090000	0.130000	-0.320000
easy-going	-0.060000	-0.150000	0.220000	0.300000	-0.410000
eccentric	-0.320000	-0.140000	0.390000	0.190000	-0.010000
economical	0.010000	0.390000	-0.130000	0.140000	-0.140000
effective	0.040000	0.200000	0.460000	-0.150000	-0.090000
efficient	-0.023458	0.462859	-3.249173	0.009992	0.061666
egocentric	0.120000	-0.120000	0.040000	-0.340000	0.130000
egotistical	0.090000	-0.090000	0.120000	-0.420000	0.180000
eloquent	0.250000	0.160000	0.180000	0.100000	0.000000
emotional	0.029822	-0.072235	0.102618	0.358260	0.448380
empathic	0.280000	-0.010000	-0.010000	0.220000	0.030000
energetic	0.044638	0.138526	0.569528	0.120501	-0.131641
enterprising	0.116433	0.166054	0.404168	-0.025126	-0.200006
entertaining	0.040000	-0.080000	0.450000	0.030000	0.010000
enthusiastic	0.086791	0.066789	0.494370	0.186130	-0.084179
envious	-0.038363	-0.106233	-0.090755	-0.126730	0.500536
erratic	0.120000	-0.430000	-0.010000	-0.130000	0.190000
ethical	0.200000	0.180000	-0.170000	0.200000	-0.100000
exacting	0.100000	0.470000	-0.020000	-0.080000	0.020000
excessive	0.020000	-0.150000	0.150000	-0.400000	0.090000
excitable	-0.100000	-0.070000	0.050000	0.220000	0.310000
exciting	0.300000	-0.030000	0.490000	-0.020000	0.000000
exhibitionistic	0.050000	-0.170000	0.320000	-0.200000	0.060000
experimental	0.090737	0.060934	0.163538	0.015651	-0.325848
explosive	-0.040000	-0.100000	0.250000	-0.250000	0.210000
expressive	0.220000	0.060000	0.380000	0.120000	0.140000
extravagant	0.034632	-0.380344	0.093067	-0.019225	0.103306
extraverted	-0.007223	-0.047002	0.722334	0.090093	-0.056197
extroverted	0.036853	-0.070000	0.664860	0.064143	-0.051433
fair	0.111283	0.311924	0.024490	0.431547	-0.161283
faithful	-0.014226	0.083292	0.028943	0.416462	-0.074103
far-sighted	-0.047225	0.419163	0.108987	0.200000	0.097137
fastidious	-0.030000	0.330000	-0.100000	-0.210000	0.160000
faultfinding	-0.020000	0.050000	-0.100000	-0.310000	0.380000
fault-finding	-0.160000	-0.021663	-0.082649	-0.408337	0.101006
fearful	-0.101480	-0.083571	-0.265254	-0.207401	0.348011
feminine	0.020000	-0.060000	0.000000	0.430000	0.370000
fiery	0.100000	0.030000	0.440000	-0.140000	0.110000
finicky	-0.020000	0.070000	-0.060000	-0.060000	0.350000
firm	0.080000	0.400000	0.170000	-0.170000	-0.150000
flamboyant	0.010000	-0.100000	0.390000	-0.040000	0.080000
flexible	0.098931	0.011911	0.062813	0.463102	-0.211737
flirtatious	0.000000	-0.150000	0.360000	0.030000	0.200000
foolhardy	-0.180000	-0.380000	0.140000	-0.020000	0.000000
forceful	0.110000	0.150000	0.380000	-0.340000	-0.010000
foresighted	0.270000	0.290000	-0.020000	0.120000	-0.110000
forgetful	0.020000	-0.400000	-0.060000	0.020000	0.080000
forgiving	-0.062462	-0.044325	-0.022293	0.440455	-0.047639
formal	-0.140000	0.370000	-0.090000	0.070000	0.140000
frank	0.087903	0.028256	0.363664	0.010816	-0.131280
fretful	-0.062430	-0.070000	-0.210997	0.078287	0.487290
friendly	-0.126976	-0.042384	0.315696	0.407152	-0.108080
frightened	-0.130000	-0.110000	-0.510000	0.170000	0.170000
frivolous	-0.048734	-0.404399	0.199266	-0.033376	0.127391
fussy	-0.070000	0.550000	-0.040000	0.180000	0.060000
generous	0.036513	-0.019897	0.065572	0.474551	-0.107363
genial	0.300000	-0.080000	0.140000	0.370000	-0.030000
gentle	-0.010000	0.270000	0.060000	0.370000	0.130000
good-hearted	0.030000	0.080000	0.110000	0.390000	0.010000
good-natured	-0.094147	0.007525	0.017666	0.611478	0.043860
gossipy	-0.150000	-0.190000	0.130000	0.080000	0.320000
greedy	0.000000	-0.120000	-0.050000	-0.330000	0.270000
gregarious	0.070000	-0.100000	0.320000	0.070000	0.030000
grumpy	-0.070000	-0.030000	-0.190000	-0.270000	0.400000
guilt free	0.116793	0.082566	0.207170	-0.174340	-0.516037
guilt ridden	-0.116793	-0.082566	-0.207170	0.174340	0.516037
gullible	-0.035519	-0.288256	-0.149536	0.255696	0.245232
haphazard	-0.090000	-0.570000	0.040000	-0.100000	0.000000
happy	0.108563	0.006408	-0.206976	0.262769	-0.170382
happy-go-lucky	-0.210000	-0.210000	0.400000	0.210000	-0.220000
hardworking	-0.060641	0.649472	0.274227	0.140264	-0.076415
hard-working	-0.089877	0.506708	0.115405	0.067764	0.053170
harsh	-0.054143	0.035140	0.059003	-0.516573	0.104860
healthy	0.040000	-0.100000	-0.010000	0.180000	-0.340000
heartless	-0.160000	-0.140000	0.020000	-0.310000	0.000000
hearty	0.020000	0.070000	0.280000	0.110000	-0.240000
helpful	-0.013635	0.109022	0.154029	0.424954	-0.065242
hesitant	0.060000	-0.310000	-0.260000	0.280000	0.280000
high-strung	0.030000	-0.080000	0.100000	-0.030000	0.400000
honest	-0.001280	0.174592	0.005872	0.357152	-0.128720
hopeful	0.121576	0.067775	0.072039	0.295075	-0.068598
hopeless	0.087641	-0.202113	-0.416708	-0.041057	6.730909
humanistic	-0.110000	0.050000	0.030000	0.550000	-0.030000
humble	-0.120000	0.120000	-0.210000	0.350000	-0.170000
humorless	-0.060000	0.130000	-0.230000	-0.060000	-0.100000
humorous	0.010000	-0.090000	0.310000	0.150000	-0.130000
hypochondriacal	-0.150000	0.180000	0.100000	-0.050000	0.390000
hypocritical	-0.140000	-0.180000	-0.050000	-0.160000	0.260000
hysterical	0.000000	-0.170000	0.000000	-0.040000	0.680000
idealistic	0.260000	-0.100000	0.020000	0.180000	0.120000
ignorant	-0.258215	-0.215356	-0.059898	0.048418	-0.005254
illogical	-0.057440	-0.447616	-0.012384	-0.020816	0.127616
imaginative	0.570902	-0.072028	0.120453	0.045520	-0.018248
immature	-0.084949	-0.438316	0.008418	-0.088723	0.097706
impartial	0.120000	0.080000	-0.230000	0.080000	-0.170000
impatient	0.150198	-0.121179	0.068651	-0.177227	0.283923
imperceptive	-0.254641	-0.130641	-0.073963	-0.501096	-0.229322
impersonal	-0.020000	0.060000	-0.310000	-0.380000	-0.070000
impetuous	0.060000	-0.170000	0.170000	-0.040000	0.120000
impolite	0.150000	-0.250000	0.000000	-0.410000	-0.170000
impractical	-0.078235	-0.468498	-0.116575	-0.095778	0.179463
imprudent	-0.100000	-0.510000	0.060000	0.020000	0.020000
impulsive	0.093646	-0.243127	0.036348	-0.006646	0.313082
inactive	-0.020475	-0.232639	-0.625078	-0.081763	0.027697
inarticulate	-0.260000	-0.120000	-0.150000	0.030000	-0.120000
inattentive	0.050000	-0.500000	0.100000	-0.030000	-0.030000
inconsiderate	0.012848	-0.228080	-0.072384	-0.463024	0.048432
inconsistent	0.031378	-0.491480	-0.048316	-0.053265	0.171175
indecisive	-0.098582	-0.320684	-0.043519	0.100405	0.256829
independent	0.139007	0.085056	0.204128	-0.144128	-0.261920
indirect	0.010000	-0.140000	-0.350000	0.110000	0.060000
indiscreet	-0.160000	-0.210000	0.140000	-0.110000	-0.030000
individualistic	0.330000	0.060000	0.080000	-0.170000	-0.130000
indulgent	0.090000	-0.180000	0.110000	0.040000	0.100000
industrious	0.250000	0.360000	0.120000	0.070000	-0.140000
ineffective	-0.190000	-0.150000	-0.470000	0.020000	0.010000
inefficient	0.014423	-0.573147	-0.160000	-0.014860	-0.019283
inflexible	-0.071572	-0.011407	-0.081847	-0.513486	0.200699
influential	-0.010000	0.170000	0.480000	0.020000	-0.210000
informal	0.230000	-0.260000	0.010000	0.070000	-0.330000
ingenious	0.418744	0.070909	0.087835	-0.096679	-1.913726
inhibited	-0.121821	0.091745	-0.624680	-0.028387	0.116087
innovative	0.441000	0.090000	0.130000	0.040000	-0.160000
inquisitive	0.430000	-0.030000	0.090000	0.050000	0.000000
insecure	-0.057066	-0.255204	-0.269292	0.069625	0.453721
insensitive	-0.014949	-0.090509	-0.098418	-0.373164	-0.221175
insightful	0.420000	0.010000	-0.040000	0.110000	-0.100000
insincere	-0.070000	-0.110000	-0.080000	-0.400000	0.010000
intellectual	0.547794	0.165021	0.010817	-0.031004	-0.116384
intelligent	0.535239	0.163480	0.112291	0.004799	-0.158886
intense	0.310000	0.110000	0.120000	-0.020000	0.120000
intolerant	-0.062113	-0.052855	-0.034407	-0.383211	0.192399
introspective	0.431812	-0.079992	-0.251820	0.128180	0.028188
introverted	0.023499	0.036321	-0.706872	-0.043716	0.037154
intrusive	-0.140000	-0.050000	0.160000	-0.130000	0.030000
inventive	0.313242	0.062286	0.093353	0.044141	-0.249995
iron-hearted	-0.100000	0.050000	0.130000	-0.730000	0.020000
irresolute	0.042113	-0.470000	-0.112236	-0.042113	0.097887
irresponsible	-0.040509	-0.671155	-0.059401	-0.193181	0.078560
irreverent	0.090000	0.060000	-0.050000	-0.180000	-0.110000
irritable	-0.051812	-0.012727	-0.074555	-0.245461	0.541804
irritating	-0.050000	0.090000	0.250000	-0.360000	0.070000
jealous	0.014538	-0.020119	-0.025558	-0.060432	0.439604
jovial	0.090000	-0.060000	0.360000	0.370000	-0.130000
kind	0.007179	0.093405	0.030348	0.644234	-0.015780
knowledgeable	0.212148	0.276999	0.104839	0.064215	-0.206842
lax	-0.055674	-0.426527	-0.069930	-0.006888	-0.008722
lazy	0.020919	-0.545673	-0.156481	-0.082030	0.080620
lenient	0.070000	-0.160000	-0.150000	0.300000	-0.150000
lethargic	-0.160000	-0.190000	-0.250000	-0.070000	0.040000
logical	0.234644	0.439796	-0.053469	-0.033367	-0.235153
lonely	-0.081013	0.046388	0.396388	-0.003612	0.264449
loyal	0.028080	0.154768	0.026976	0.425872	-0.046512
lustful	0.110000	-0.200000	0.070000	-0.160000	0.120000
magnetic	0.170000	-0.020000	0.480000	0.220000	-0.050000
manipulative	0.020000	0.080000	0.160000	-0.270000	0.130000
mannerly	-0.020000	0.340000	-0.090000	0.390000	0.100000
masculine	0.100000	0.050000	0.010000	-0.340000	-0.430000
masochistic	-0.080000	-0.140000	-0.080000	-0.140000	-0.010000
mature	0.210102	0.366633	-0.025153	0.191582	-0.152757
meddlesome	-0.160000	-0.080000	0.210000	-0.050000	0.250000
meek	-0.220000	-0.080000	-0.480000	0.220000	0.020000
melancholic	-0.055255	-0.089296	-0.207242	0.050460	0.334245
merciful	0.004717	-0.003170	-0.012113	0.545405	0.118010
merry	-0.064746	-0.018316	0.434949	0.378316	-0.126429
messy	0.086388	-0.533612	-0.048987	0.115374	0.080000
meticulous	0.040000	0.440000	-0.110000	0.010000	0.090000
mindless	-0.160000	-0.350000	0.040000	0.180000	0.010000
mischievous	0.140000	-0.190000	0.340000	-0.100000	0.020000
mistrustful	0.011762	0.080925	0.116388	-0.059075	0.450000
moderate	0.180000	0.390000	0.040000	0.280000	0.140000
modern	-0.040000	0.030000	0.180000	0.170000	-0.450000
modest	-0.023297	0.144001	-0.125352	0.391112	-0.039018
